moveIndex,alternative,d4Action,meanDelta,sdDelta,required,lower95,survivorAdv,clearAdv,rootQLoss
10,3,6,-2533.552932,15552.24392,14383.42754,-16916.98048,0,0.1428571429,2876.177971
10,2,6,-10079.0876,16510.01381,15269.217,-25348.3046,0,-1.285714286,1886.157263
10,4,6,-10052.60467,19091.53756,17656.72842,-27709.33309,0,-2.857142857,838.7215192
10,1,6,30.43381138,15512.89368,14347.03464,-14316.60083,0,1.428571429,1844.725844
10,5,6,-20718.82324,25069.18215,23185.12794,-43903.95118,0,-3.571428571,1259.278002
10,0,6,-170077.3075,367508.902,339889.0661,-509966.3737,-1,-9.285714286,1994.151852
11,3,1,-9608.022701,40693.54265,37635.2522,-47243.2749,0,-3.857142857,1433.253355
11,2,1,947.2133315,33747.47158,31211.2075,-30263.99417,0,-0.5714285714,1261.410223
11,4,1,-8804.743292,29058.66817,26874.78735,-35679.53064,0,-0.5714285714,437.2873263
11,5,1,-4244.580045,26800.11245,24785.97156,-29030.55161,0,-2.142857143,164.3028686
11,0,1,5816.238013,34688.43392,32081.45258,-26265.21456,0,-0.5714285714,1520.110519
11,6,1,-134383.4173,383336.8436,354527.4715,-488910.8888,-1,-3.428571429,6145.864071
12,3,0,2201.861823,20023.73635,18518.86856,-16317.00673,0,-0.7142857143,2566.113549
12,2,0,11535.95642,33797.79321,31257.74725,-19721.79083,0,2.285714286,2561.328302
12,4,0,-5212.332422,53436.80465,49420.80459,-54633.13702,0,0.4285714286,2770.748577
12,1,0,-503.7904784,49037.39755,45352.03139,-45855.82187,0,-1,4508.298801
12,5,0,9134.798999,30901.0776,28578.73198,-19443.93298,0,3,5147.944305
12,6,0,-7235.133486,21237.10664,19641.04897,-26876.18246,0,-1.857142857,7874.617872
13,3,4,-164221.4513,383076.6101,354286.7957,-518508.2469,-1,-8.857142857,2460.912447
13,2,4,-4703.670999,31864.67215,29469.90835,-34173.57935,0,1.428571429,4009.261557
13,1,4,-12913.58322,10834.04377,10019.81992,-22933.40315,0,-2.285714286,9456.502356
13,5,4,-9563.159735,37218.92324,34421.76501,-43984.92475,0,-1.285714286,4184.865501
13,0,4,-19373.32983,35132.46909,32492.11664,-51865.44647,0,-4.142857143,3441.610047
13,6,4,-157100.5158,378925.8358,350447.9695,-507548.4853,-1,-7.857142857,1716.138816
14,3,6,-17624.89695,52250.58558,48323.73486,-65948.63181,0,-3,4379.054605
14,2,6,-7051.365254,20236.62717,18715.75974,-25767.12499,0,-2.428571429,4947.510262
14,4,6,-11041.93881,28031.04503,25924.39439,-36966.3332,0,-3.571428571,2542.969477
14,1,6,-19763.23291,40032.27838,37023.6847,-56786.91761,0,-5.571428571,5254.551
14,5,6,-8438.192759,18327.19409,16949.82856,-25388.02132,0,-2.428571429,5150.059233
14,0,6,-11238.34506,16322.23282,15095.54854,-26333.8936,0,-2.142857143,2916.070019
15,3,4,-9110.80733,12014.62224,11111.67297,-20222.4803,0,-2.142857143,1911.062187
15,2,4,-19491.98324,30850.74463,28532.18174,-48024.16498,0,-3.857142857,4635.976385
15,1,4,-17541.49021,18753.98564,17344.54494,-34886.03515,0,-3,2933.188625
15,5,4,-9870.31839,11430.41151,10571.36813,-20441.68652,0,-3.142857143,3178.457464
15,0,4,-12531.50512,17147.56509,15858.85363,-28390.35875,0,-4.142857143,3215.126373
15,6,4,-19694.93831,11056.45336,10225.5145,-29920.45282,0,-6.285714286,3015.33307
16,2,3,-18990.89567,39135.4216,36194.23047,-55185.12614,0,-2.857142857,5187.848787
16,4,3,-9080.520988,15346.58184,14193.22183,-23273.74282,0,-0.8571428571,1689.039229
16,1,3,-15041.52979,27565.2113,25493.57002,-40535.09981,0,-1.857142857,2065.813898
16,5,3,-2799.406071,8625.21602,7976.99485,-10776.40092,0,1.571428571,4159.730987
16,0,3,-7532.723034,23223.06071,21477.75027,-29010.4733,0,-1.142857143,1664.696041
16,6,3,-13791.92286,19273.7593,17825.25543,-31617.17829,0,-1.571428571,2546.668323
17,2,3,-9882.973519,13210.09798,12217.30369,-22100.27721,0,-2.714285714,1396.749762
17,4,3,-6530.149637,26539.34654,24544.8033,-31074.95294,0,-2.142857143,1700.12538
17,1,3,-8449.527392,14574.27861,13478.96042,-21928.48782,0,-2.285714286,1984.343106
17,5,3,-23427.02444,48850.64454,45179.31366,-68606.3381,0,-5.571428571,3559.885027
17,0,3,-11113.47627,18757.11887,17347.4427,-28460.91897,0,-3,708.3748813
17,6,3,-8306.147314,28960.48487,26783.98293,-35090.13025,0,-1.428571429,265.445216
18,2,3,11267.88428,24250.29257,22427.78135,-11159.89706,0,3.571428571,5363.228084
18,4,3,423.925106,21792.35486,20154.56796,-19730.64286,0,0.4285714286,3928.305331
18,1,3,8123.461005,22472.61365,20783.70245,-12660.24145,0,2.857142857,4960.800258
18,5,3,2062.369926,19853.25631,18361.2008,-16298.83088,0,-0.4285714286,6309.742782
18,0,3,-11212.24465,33844.89597,31301.31004,-42513.55469,0,-2.571428571,4632.270245
18,6,3,-918.5091127,19194.43016,17751.8882,-18670.39732,0,-0.8571428571,250.4475155
19,2,3,-19780.77522,35712.12066,33028.20497,-52808.98019,0,-1.142857143,9408.297373
19,4,3,-168582.0915,372985.5702,344954.1398,-513536.2312,-1,-8.714285714,10564.89428
19,1,3,-36053.99119,49837.11646,46091.64807,-82145.63926,0,-5.857142857,9415.279655
19,5,3,-7525.310737,42789.52008,39573.70812,-47099.01886,0,-2,12875.30069
19,0,3,-12123.68603,41268.88769,38167.35764,-50291.04367,0,-1.142857143,10562.94824
19,6,3,-144963.4574,340286.4189,314712.4669,-459675.9243,-1,-2.285714286,6013.647031
20,2,3,-31352.94482,25612.83071,23687.91903,-55040.86385,0,-5.714285714,1245.272608
20,4,3,-41837.39563,27413.1898,25352.97358,-67190.3692,0,-8.428571429,1586.318711
20,1,3,-22205.24953,34683.28615,32076.69169,-54281.94122,0,-2.714285714,2337.95752
20,5,3,-29047.04987,28854.40501,26685.87542,-55732.9253,0,-4.142857143,1777.926975
20,0,3,-17112.06071,42153.75343,38985.72201,-56097.78272,0,-1.571428571,726.5260588
20,6,3,-9472.853917,14224.43906,13155.41279,-22628.26671,0,-2,1942.78575
21,3,1,-17448.85339,32288.13041,29861.54195,-47310.39534,0,-3.428571429,2913.813248
21,2,1,25744.47659,40371.91657,37337.79766,-11593.32107,0,5.428571429,3801.478992
21,4,1,1790.154643,28269.21819,26144.66784,-24354.5132,0,-0.4285714286,2167.298886
21,5,1,-125043.8548,330550.2593,305708.0206,-430751.8754,-1,-0.5714285714,2542.854662
21,0,1,517.5439063,63369.44312,58606.96361,-58089.41971,0,1.142857143,1510.678245
21,6,1,14862.6642,51636.5681,47755.86337,-32893.19918,0,2.285714286,2539.155944
22,3,6,140946.6532,331807.9813,306871.2194,-165924.5662,1,3.857142857,1874.592398
22,2,6,111941.3422,336872.7995,311555.3953,-199614.0532,1,-2.285714286,4584.357094
22,4,6,1858.16506,28207.00043,26087.12601,-24228.96095,0,0.4285714286,2500.746331
22,1,6,1189.255745,33861.23317,31316.41943,-30127.16369,0,0.5714285714,4274.420757
22,5,6,1189.255745,33861.23317,31316.41943,-30127.16369,0,0.5714285714,4274.420757
22,0,6,129429.5296,360045.6996,332986.7547,-203557.2251,1,0.7142857143,6528.660543
23,3,6,-34416.70304,58333.85931,53949.82505,-88366.52809,0,-6.857142857,3776.774993
23,2,6,-33645.76203,45565.7102,42141.25591,-75787.01795,0,-5.285714286,2709.242477
23,4,6,-3145.918571,30397.08956,28112.62075,-31258.53932,0,-0.2857142857,2642.472206
23,1,6,-139588.3368,391942.1489,362486.0521,-502074.3889,-1,-5.142857143,3496.507923
23,5,6,-149545.5405,378988.0857,350505.5411,-500051.0816,-1,-5.571428571,2947.959413
23,0,6,-11638.61286,56859.82243,52586.56822,-64225.18108,0,-3.428571429,6416.014646
24,2,3,-7580.491558,68982.58326,63798.25272,-71378.74428,0,-2.142857143,6483.198117
24,4,3,-262445.2128,495946.5463,458674.0827,-721119.2955,-2,-7.285714286,4324.936635
24,1,3,-7548.491558,68982.58326,63798.25272,-71346.74428,0,-2.142857143,6451.198117
24,5,3,-7548.491558,68982.58326,63798.25272,-71346.74428,0,-2.142857143,6451.198117
24,0,3,-140565.7545,364369.4404,336985.5483,-477551.3028,-1,-4.571428571,5482.746421
24,6,3,-142568.6401,366854.1612,339283.5319,-481852.172,-1,-6,6455.591986
25,3,6,-13875.69172,804938.337,744443.8439,-758319.5356,0,-2.285714286,2279.570295
25,2,6,-291489.2516,736932.8125,681549.2199,-973038.4715,-2,-8.714285714,2971.836294
25,4,6,-1684.563147,583018.0698,539201.8158,-540886.379,0,-0.8571428571,3400.490056
25,1,6,141480.5541,684209.7929,632788.5564,-491308.0023,1,6.142857143,6099.254887
25,5,6,111118.6858,368724.3824,341013.1981,-229894.5123,1,0.7142857143,467.6974462
25,0,6,-146037.3978,381275.2166,352620.7844,-498658.1822,-1,-4.857142857,2078.555797
26,3,5,-278601.9941,482675.8301,446400.7165,-725002.7106,-2,-6,169.5258961
26,2,5,-390078.7846,515200.6013,476481.1146,-866559.8992,-3,-6.142857143,769.2062255
26,4,5,-259156.4598,472466.5986,436958.7515,-696115.2113,-2,-3.285714286,1142.800542
26,1,5,-262685.5366,460193.0891,425607.6477,-688293.1843,-2,-6.142857143,3382.06036
26,0,5,-112700.4048,674965.51,624239.0202,-736939.425,-1,1.714285714,1173.91275
26,6,5,-132292.0468,670059.8178,619702.0113,-751994.0581,-1,-4.857142857,1083.685288
27,3,5,130196.7621,390559.2604,361207.0934,-231010.3314,1,0.7142857143,4320.915772
27,2,5,129905.5141,702009.0695,649250.1427,-519344.6286,1,0.7142857143,4740.540443
27,4,5,-10791.27281,825788.4767,763727.0081,-774518.2809,0,1.428571429,3302.662314
27,1,5,-13852.04993,830776.546,768340.2031,-782192.253,0,-2.142857143,11739.40954
27,0,5,248650.901,762365.9628,705070.9622,-456420.0612,2,0.5714285714,5132.045779
27,6,5,-10791.27281,825788.4767,763727.0081,-774518.2809,0,1.428571429,3302.662314
28,3,0,132103.7211,350196.6895,323877.9391,-191774.218,1,3.857142857,1247.337276
28,2,0,146837.844,357964.1471,331061.6396,-184223.7957,1,9.142857143,2294.509743
28,4,0,138962.4786,347737.652,321603.7085,-182641.2299,1,0.2857142857,606.5291272
28,1,0,-149515.2943,636105.293,588299.3115,-737814.6057,-1,-4.285714286,4302.389932
28,5,0,273134.3214,445170.2386,411713.8275,-138579.506,2,6.428571429,335.0053544
28,6,0,137705.4329,665783.2683,615746.8624,-478041.4296,1,2.285714286,1985.842032
29,3,1,-152749.3304,626981.8212,579861.5069,-732610.8372,-1,-5.285714286,4225.064033
29,2,1,-3428.522768,773359.2995,715238.1036,-718666.6264,0,0.8571428571,2398.01133
29,4,1,12328.42629,552939.3047,511383.5962,-499055.1699,0,0.1428571429,610.1660229
29,5,1,-286857.6875,467876.8898,432713.9786,-719571.6661,-2,-11.42857143,4009.494805
29,0,1,-274641.4018,464235.8408,429346.5697,-703987.9714,-2,-12.14285714,72.6171745
29,6,1,-151069.6643,650315.702,601441.7487,-752511.413,-1,-8,3747.257876
